Flow,SpeedSD
1765.733311,8.047179313
3531.466621,8.017484386
5297.199932,7.995106743
7062.933243,7.980107942
8828.666553,7.972529629
10594.39986,7.972392964
12360.13317,7.97969833
14125.86649,7.994425325
15891.5998,8.016533048
17657.33311,8.045960658
19423.06642,8.082628204
21188.79973,8.126437684
22954.53304,8.177274311
24720.26635,8.235007946
26485.99966,8.299494656
28251.73297,8.370578368
30017.46628,8.448092557
31783.19959,8.531861958
33548.9329,8.621704243
35314.66621,8.717431653
37080.39952,8.818852543
38846.13283,8.925772835
40611.86614,9.037997356
42377.59946,9.155331053
44143.33277,9.27758008
45909.06608,9.404552758
47674.79939,9.536060402
49440.5327,9.67191803
51206.26601,9.811944952
52971.99932,9.955965251
54737.73263,10.10380816
56503.46594,10.25530837
58269.19925,10.41030619
60034.93256,10.56864775
61800.66587,10.73018501
63566.39918,10.89477584
65332.13249,11.06228393
67097.8658,11.23257878
68863.59911,11.40553555
70629.33243,11.58103498
72395.06574,11.75896323
74160.79905,11.93921172
75926.53236,12.12167692
77692.26567,12.30626026
79457.99898,12.49286782
81223.73229,12.68141027
82989.4656,12.87180257
84755.19891,13.06396385
86520.93222,13.25781718
88286.66553,13.45328942
90052.39884,13.65031102
91818.13215,13.84881586
93583.86546,14.04874107
95349.59877,14.25002686
97115.33208,14.45261638
98881.0654,14.65645557
100646.7987,14.86149302
102412.532,15.0676798
104178.2653,15.27496936
105943.9986,15.48331743
107709.7319,15.69268184
109475.4653,15.90302245
111241.1986,16.11430103
